Snaresbrook,Redbridge,14 December 1947,4,2.69,,,,
South Ealing,Ealing,1 May 1883,3,3.62,,,,
South Harrow,Harrow,28 June 1903,5,2.48,,,,
South Kensington,Kensington and Chelsea,24 December 1868,1,33.6,,,,
South Kenton,Brent,03 July 1933,4,1.17,,,,
South Ruislip,Hillingdon,23 November 1948,5,1.76,,,,
South Wimbledon,Merton,13 September 1926,3~4,4.76,,,,
South Woodford,Redbridge,14 December 1947,4,5.25,,,,
Southfields,Wandsworth,3 June 1889,3,6.28,,,,
Southgate,Enfield,13 March 1933,4,5.65,,,,
Southwark,Southwark,24 September 1999,1,17.86,,,,
St. James's Park,City of Westminster,24 December 1868,1,14.93,,,,
St. John's Wood,City of Westminster,20 November 1939,2,7.79,,,,
St. Paul's,City of London,30 July 1900,1,18.42,,,,
Stamford Brook,Hammersmith and Fulham,01 February 1912,2,2.7,,,,
Stanmore,Harrow,10 December 1932,5,4.04,,,,
Stepney Green,Tower Hamlets,23 June 1902,2,6.41,,,,
Stockwell,Lambeth,18 December 1890,2,11.42,,,,
Stonebridge Park,Brent,16 April 1917,3,2.53,,,,
Stratford,Newham,04 December 1946,2~3,67.05,,,,
Sudbury Hill,Ealing,28 June 1903,4,1.98,,,,
Sudbury Town,Brent,28 June 1903,4,2,,,,
Swiss Cottage,Camden,20 November 1939,2,7.58,,,,
Temple,City of Westminster,30 May 1870,1,8.22,,,,
Theydon Bois,Epping Forest,25 September 1949,6,0.85,,,,
Tooting Bec,Wandsworth,13 September 1926,3,7.92,,,,
Tooting Broadway,Wandsworth,13 September 1926,3,15.92,,,,
Tottenham Court Road,City of Westminster,30 July 1900,1,39.35,,,,
Tottenham Hale,Haringey,01 September 1968,3,13.21,,,,
Totteridge ~ Whetstone,Barnet,14 April 1940,4,2.23,,,,
Tower Hill,Tower Hamlets,25 September 1882,1,21.83,,,,
Tufnell Park,Islington,22 June 1907,2,3.71,,,,
Turnham Green,Hounslow,1 June 1877,2~3,5.65,,,,
Turnpike Lane,Haringey,19 September 1932,3,10.86,,,,
Upminster,Havering,02 June 1902,6,5.34,,,,
Upminster Bridge,Havering,17 December 1934,6,1.16,,,,
Upney,Barking and Dagenham,12 September 1932,4,2.72,,,,
Upton Park,Newham,02 June 1902,3,10.14,,,,
Uxbridge,Hillingdon,04 July 1904,6,8.45,,,,
Vauxhall,Lambeth,23 July 1971,1~2,32.23,,,,
Victoria,City of Westminster,24 December 1868,1,83.5,,,,
Walthamstow Central,Waltham Forest,01 September 1968,3,22.77,,,,
Wanstead,Redbridge,14 December 1947,4,2.96,,,,
Warren Street,Camden,22 June 1907,1,20.35,,,,
Warwick Avenue,City of Westminster,31 January 1915,2,4.51,,,,
Watford,Watford,02 November 1925,7,1.84,,,,
Wembley Central,Brent,16 April 1917,4,5.77,,,,
Wembley Park,Brent,12 May 1894,4,15.1,,,,
West Acton,Ealing,05 November 1923,3,1.82,,,,
West Brompton,Kensington and Chelsea,12 April 1869,2,6.1,,,,
West Finchley,Barnet,14 April 1940,4,1.67,,,,
West Ham,Newham,02 June 1902,2~3,3.46,,,,
West Hampstead,Camden,30 June 1879,2,11.04,,,,
West Harrow,Harrow,17 November 1913,5,1.49,,,,
West Kensington,Hammersmith and Fulham,9 September 1874,2,5.06,,,,
West Ruislip,Hillingdon,21 November 1948,6,1.67,,,,
Westbourne Park,City of Westminster,1 February 1866,2,3.98,,,,
Westminster,City of Westminster,24 December 1868,1,28.38,,,,
White City,Hammersmith and Fulham,23 November 1947,2,8.95,,,,
Whitechapel,Tower Hamlets,1 October 1884,2,14.37,,,,
Willesden Green,Brent,24 November 1879,2~3,8.97,,,,
Willesden Junction,Brent,10 May 1915,2~3,4.73,,,,
Wimbledon,Merton,3 June 1889,3,13.4,,,,
Wimbledon Park,Merton,3 June 1889,3,1.89,,,,
Wood Green,Haringey,19 September 1932,3,13.2,,,,
Wood Lane,Hammersmith and Fulham,12 October 2008,2,3.68,,,,
Woodford,Redbridge,14 December 1947,4,5.69,,,,
Woodside Park,Barnet,12 April 1940,4,2.87,,,,
