Roding Valley ,31, , ,131.2,131.2, , , , , , , , , , , , , , , , 
Rotherhithe ,2, , , , , , , , , , , , , , , , , , , , 
Royal Oak ,27, , , , , , ,121.0,121.0, , , , , , , , , , , , 
Ruislip ,46, , , , , , , , , , ,145.6,145.6, , , , , , , , 
Ruislip Gardens ,37, , ,141.5,141.5, , , , , , , , , , , , , , , , 
Ruislip Manor ,44, , , , , , , , , , ,149.6,149.6, , , , , , , , 
Russell Square ,23, , , , , , , , , , , , , , ,89.8,89.8, , , , 
Seven Sisters ,11, , , , , , , , , , , , , , , , ,93.0,93.0, , 
Shadwell ,11, , , , , , , , , , , , , , , , , , , , 
Shepherd's Bush  (Central),6, , ,89.8,89.8, , , , , , , , , , , , , , , , 
Shepherd's Bush Market (Hammersmith & City),6, , , , , , ,111.9,111.9, , , , , , , , , , , , 
Shoreditch ,13, , , , , , , , , , , , , , , , , , , , 
Sloane Square ,6, , , , ,97.6,97.6, , , , , , , , , , , , , , 
Snaresbrook ,22, , ,127.4,127.4, , , , , , , , , , , , , , , , 
South Ealing ,24, , , , , , , , , , , , , , ,120.3,120.3, , , , 
South Harrow ,61, , , , , , , , , , , , , , ,166.8,166.8, , , , 
South Kensington ,7, , , , ,100.0,100.0, , , , , , , , ,89.1,83.5, , , , 
South Kenton ,43, , , , , , , , , , , , , , ,146.4,146.4, , , , 
South Ruislip ,37, , ,141.4,141.4, , , , , , , , , , , , , , , , 
South Wimbledon ,14, , , , , , , , , , , , ,101.3,101.3, , , , , , 
South Woodford ,28, , ,128.8,128.8, , , , , , , , , , , , , , , , 
Southfields ,23, , , , ,117.0,117.0, , , , , , , , , , , , , , 
Southgate ,71, , , , , , , , , , , , , , ,160.2,160.2, , , , 
Southwark ,4, , , , , , , , ,79.5,79.5, , , , , , , , , , 
St James's Park ,4, , , , ,98.2,98.2, , , , , , , , , , , , , , 
St John's Wood ,49, , , , , , , , ,131.7,131.2, , , , , , , , , , 
St Pauls' ,17, , ,89.9,95.3, , , , , , , , , , , , , , , , 
Stamford Brook ,5, , , , ,111.4,111.4, , , , , , , , , , , , , , 
Stanmore ,85, , , , , , , , ,176.8,176.8, , , , , , , , , , 
Stepney Green ,10, , , , ,102.8,102.8, , , , , , , , , , , , , , 
Stockwell ,6, , , , , , , , , , , , ,92.2,92.4, , ,92.2,92.4, , 
Stonebridge Park ,24, , , , , , , , , , , , , , ,131.5,131.5, , , , 
Stratford ,4, , ,107.2,107.2, , , , ,104.0,104.0, , , , , , , , , , 
Sudbury Hill ,60, , , , , , , , , , , , , , ,154.2,154.2, , , , 
Sudbury Town ,48, , , , , , , , , , , , , , ,147.6,147.6, , , , 
Surrey Quays ,2, , , , , , , , , , , , , , , , , , , , 
Swiss Cottage ,57, , , , , , , , ,140.1,140.1, , , , , , , , , , 
Temple ,5, , , , ,99.2,99.2, , , , , , , , , , , , , , 
Theydon Bois ,54, , ,153.1,153.1, , , , , , , , , , , , , , , , 
Tooting Bec ,28, , , , , , , , , , , , ,111.6,111.6, , , , , , 
Tooting Broadway ,16, , , , , , , , , , , , ,103.2,103.2, , , , , , 
Tottenham Court Road ,25, , ,100.2,100.2, , , , , , , , ,94.3,94.3, , , , , , 
Tottenham Hale ,11, , , , , , , , , , , , , , , , ,91.8,91.7, , 
Totteridge ,75, , , , , , , , , , , , ,173.8,173.8, , , , , , 
Tower Hill ,14, , , , ,106.9,107.0, , , , , , , , , , , , , , 
Tufnell Park ,44, , , , , , , , , , , , ,125.0,121.6, , , , , , 
Turnham Green ,5, , , , ,110.9,110.9, , , , , , , , , , , , , , 
Turnpike Lane ,21, , , , , , , , , , , , , , ,106.3,106.3, , , , 
Upminster ,28, , , , ,119.2,119.2, , , , , , , , , , , , , , 
Upminster Bridge ,15, , , , ,119.3,119.3, , , , , , , , , , , , , , 
Upney ,12, , , , ,106.3,106.3, , , , , , , , , , , , , , 
Upton Park ,11, , , , ,105.3,105.3, , , , , , , , , , , , , , 
Uxbridge ,40, , , , , , , , , , ,140.1,140.1, , , , , , , , 
Vauxhall ,4, , , , , , , , , , , , , , , , ,86.3,86.3, , 
Victoria ,4.6, , , , ,97.0,97.0, , , , , , , , , , ,85.2,85.2, , 
Walthamstow Central ,24, , , , , , , , , , , , , , , , ,106.9,106.7, , 
Wanstead ,29, , ,109.7,109.6, , , , , , , , , , , , , , , , 
Wapping ,4, , , , , , , , , , , , , , , , , , , , 
Warren Street ,27, , , , , , , , , , , , ,101.7,101.6, , ,96.1,96.1, , 
Warwick Avenue ,27,112.5,112.5, , , , , , , , , , , , , , , , , , 
Waterloo ,4,85.1,88.2, , , , , , ,74.0,74.0, , ,82.8,82.8, , , , ,98.2,98.2
Watford ,70, , , , , , , , , , ,164.8,164.8, , , , , , , , 
Wembley Central ,45, , , , , , , , , , , , , , ,138.5,138.5, , , , 
Wembley Park ,41, , , , , , , , ,136.7,136.7, , , , , , , , , , 
West Acton ,33, , ,127.4,127.4, , , , , , , , , , , , , , , , 
West Brompton ,7, , , , ,102.0,102.1, , , , , , , , , , , , , , 
West Finchley ,78, , , , , , , , , , , , ,177.3,177.3, , , , , , 
West Ham ,1, , , , ,104.7,104.7, , ,101.2,101.2, , , , , , , , , , 
West Hampstead ,56, , , , , , , , ,150.5,150.5, , , , , , , , , , 
